40 316
88 200
8 193
17 196
68 189
18 196
72 198
22 198
10 196
36 179
75 200
70 195
21 196
42 197
80 197
26 197
78 121
19 189
2 317
55 191
84 171
7 201
44 197
5 182
69 196
12 198
31 172
4 134
62 318
74 191
39 199
79 191
58 199
64 200
57 194
33 192
87 191
76 197
38 192
61 194
54 173
24 135
82 198
51 135
37 200
16 320
52 196
0 193
29 193
25 198
71 196
13 177
30 137
66 185
20 183
15 183
73 198
48 201
56 187
41 198
77 177
1 195
47 196
81 197
11 197
67 186
65 322
27 199
32 323
50 188
23 196
43 324
63 327
3 201
49 204
60 330
35 330
86 333
83 220
89 340
14 341
46 220
28 226
9 168
85 203
45 297
53 204
34 205
6 305
59 441
