17 336
82 346
44 336
11 339
84 345
21 336
6 336
83 345
26 337
87 346
1 345
79 345
12 341
15 341
4 337
7 336
49 340
20 337
2 337
23 337
8 341
54 335
53 344
9 347
18 347
89 341
85 346
33 341
51 342
19 337
59 347
55 342
72 346
68 338
67 343
80 341
48 343
74 341
37 341
30 346
39 339
86 339
64 341
38 338
27 341
66 337
50 337
22 343
71 346
69 340
56 336
16 340
52 348
28 344
63 338
57 339
13 339
29 339
31 342
78 349
76 343
40 344
35 339
45 339
60 343
61 341
10 339
3 342
88 349
75 338
0 341
62 341
77 343
34 338
47 347
36 347
5 346
46 346
14 336
70 341
65 344
25 344
73 349
58 344
42 349
41 348
81 349
32 339
24 372
43 380
