59 1290
93 1307
65 1294
10 1294
30 1306
73 1292
79 1294
40 1295
58 1295
37 1296
95 1315
94 1344
24 1349
1 1349
92 1348
31 1346
91 1351
75 1356
68 1396
32 1390
45 1387
86 1384
96 1421
80 1414
21 1456
7 1505
84 1725
81 1880
54 1899
90 1923
12 2035
49 2043
62 2342
26 2379
34 2375
88 2393
52 2397
60 2418
27 2424
78 2437
17 2436
99 2464
15 2464
70 2475
63 2477
97 2481
50 2479
61 2510
38 2501
56 2497
5 2504
8 2527
19 2537
6 2568
53 2597
98 2661
66 2685
33 2694
57 2791
16 2956
11 2990
55 3110
20 3164
25 3204
67 3365
46 3427
71 3444
13 3447
35 3446
83 3468
89 3476
28 3502
44 3517
43 3534
48 3579
2 3566
85 3592
23 3571
29 3598
42 3605
82 3615
74 3653
72 3659
3 3663
47 3678
14 3695
51 3739
69 3807
64 3853
36 3992
4 4006
0 4023
39 4049
77 4207
22 4289
41 4326
87 4530
18 4566
76 4575
9 5298
